Angle 1,Angle 2,Velocity 1,Velocity 2
0.7853981633974483,0.5235987755982988,0.0,0.0
0.7853981633974483,0.5235987755982988,-0.08562022139470087,0.06730556619545879
0.7845419611835013,0.5242718312602535,-0.17126311349783013,0.1346928759650706
0.782829330048523,0.5256187600199042,-0.25685345215344374,0.2020448957940595
0.7802607955269886,0.5276392089778448,-0.34231273119473854,0.26923343100085745
0.7768376682150412,0.5303315432878534,-0.42755623911653917,0.33610930712461207
0.7725621058238757,0.5336926363590995,-0.5124900876647723,0.40249244479943863
0.767437204947228,0.5377175608070939,-0.597008199653652,0.4681618690650419
0.7614671229506915,0.5423991794977443,-0.6809892864835381,0.5328457608819677
0.7546572300858562,0.547727637106564,-0.7642938784692325,0.596211752781433
0.7470142913011638,0.5536897546343783,-0.8467615134532186,0.6578577928256446
0.7385466761666316,0.5602683325626348,-0.9282082405183358,0.7173040492923372
0.7292645937614483,0.5674413730555581,-1.0084246533530823,0.7739864954872245
0.7191803472279175,0.5751812380104303,-1.0871747265925997,0.8272529846971275
0.7083085999619915,0.5834537678574016,-1.1641957791703608,0.8763627738372675
0.6966666421702878,0.5922173955957742,-1.2391999180316395,0.9204905430249621
0.6842746429899714,0.6014223010260239,-1.3118773063371025,0.9587359383825653
0.6711558699266004,0.6110096604098495,-1.3819015336860163,0.9901394829575002
0.6573368545897402,0.6209110552394245,-1.4489372257364086,1.0137053088761656
0.6428474823323761,0.6310481083281861,-1.5126498099853858,1.0284305413948158
0.6277209842325222,0.6413324137421343,-1.5727170634989949,1.0333403384564477
0.6119938135975322,0.6516658171266988,-1.6288417404089166,1.0275266490920223
0.5957053961934431,0.661941083617619,-1.6807642695642244,1.0101878603992362
0.5788977534978008,0.6720429622216114,-1.7282742995245284,0.9806658625224113
0.5616150105025556,0.6818496208468355,-1.7712198208923957,0.9384768775784353
0.5439028122936316,0.6912343896226198,-1.809512760425733,0.8833328045823547
0.5258076846893742,0.7000677176684434,-1.8431303152004856,0.8151508289250129
0.5073763815373694,0.7082192259576936,-1.8721118197607467,0.734050475792572
0.48865526333976195,0.7155597307156193,-1.8965515114277967,0.640338869760263
0.469689748225484,0.7219631194132219,-1.916588060262566,0.5344863697450146
0.45052386762285834,0.727307983110672,-1.9323920630325608,0.41709570605423907
0.4311999469925327,0.7314789401712144,-1.9441528160394104,0.28886811296834203
0.4117584188321386,0.7343676213008978,-1.9520655882871754,0.150569742309815
0.3922377629492668,0.735873318723996,-1.9563203685974355,0.0030010045686758025
0.37267455926329246,0.7359033287696828,-1.957092734450069,-0.15302937864505523
0.3531036319187918,0.7343730349832323,-1.954537160466778,-0.31672471155319354
0.333558260314124,0.7312057878677003,-1.9487828047498803,-0.48731490744883277
0.3140704322666252,0.726332638793212,-1.9399316099428767,-0.66406572294248
0.29467111616719643,0.7196919815637872,-1.9280584378324825,-0.846283370841326
0.27539053178887163,0.7112291478553739,-1.9132129107562388,-1.033315364008772
0.2562584026813092,0.7008959942152863,-1.8954226417161408,-1.2245484169180834
0.23730417626414782,0.6886505100461054,-1.874697578627144,-1.4194041069149137
0.21855720047787638,0.6744564689769563,-1.851035250118405,-1.6173328175679136
0.20004684797669234,0.6582831408012771,-1.8244267686977713,-1.8178062846373058
0.18180258028971463,0.6401050779549041,-1.7948635140749278,-2.0203088626176013
0.16385394514896534,0.6199019893287281,-1.7623444804178303,-2.2243274393912387
0.14623050034478705,0.5976587149348157,-1.7268843234914808,-2.429339756197566
0.12896165710987223,0.57336531737284,-1.6885221844719713,-2.6348007468386783
0.11207643526515251,0.5470173099044532,-1.647331392930633,-2.8401264038903777
0.09560312133584618,0.5186160458655494,-1.6034301553272876,-3.0446746281617325
0.07956881978257331,0.4881692995839321,-1.5569933060129242,-3.24772255030295
0.06399888672244407,0.4556920740809026,-1.5082651176034039,-3.44843997666994
0.04891623554641003,0.4212076743142032,-1.4575730115101557,-3.645858972353468
0.034340505431308475,0.38474908459066853,-1.4053417450135528,-3.838840240656622
0.020287087981172947,0.3463606821841023,-1.3521072426698821,-4.026037990649781
0.006766015554474125,0.3061003022776045,-1.2985286582137492,-4.205866489505911
-0.0062192710276633666,0.2640416373825454,-1.2453964981260854,-4.376473492107241
-0.018673236008924222,0.22027690246147297,-1.193633773785687,-4.535728081828541
-0.030609573746781093,0.17491962164318756,-1.144286352593642,-4.681232705416495
-0.04205243727271751,0.12810729458902262,-1.09849828484069,-4.8103704848963424
-0.05303742012112441,0.0800035897400592,-1.057468388779931,-4.920397946527819
-0.06361210400892373,0.030799610274781,-1.022386336304072,-5.008588646905664
-0.07383596737196445,-0.019286276194275635,-0.9943502418180882,-5.072423838913805
-0.08377946979014533,-0.07001051458341367,-0.9742730422986262,-5.109812942905625
-0.0935222002131316,-0.12110864401246993,-0.9627905085335091,-5.119312372786872
-0.10315010529846669,-0.17230176774033865,-0.9601873643498549,-5.100301839142719
-0.11275197894196523,-0.22330478613176583,-0.9663574111152277,-5.053078568331475
-0.1224155530531175,-0.27383557181508056,-0.9808077217623155,-4.978844605780519
-0.13222363027074066,-0.32362401787288575,-1.00270720962946,-4.879587034607164
-0.14225070236703527,-0.3724198882189574,-1.0309696575489136,-4.75787655598337
-0.1525603989425244,-0.4199986537787911,-1.0643544752763103,-4.616626549289146
-0.1632039436952875,-0.4661649192716826,-1.101567184941984,-4.458857139054852
-0.17421961554470736,-0.5107534906622311,-1.1413453982501542,-4.287498545400861
-0.1856330695272089,-0.5536284761162397,-1.1825224228426046,-4.105251502230989
